account_id,contract_id,MOC,POC,FOM,num_created_tickets,num_closed_tickets,median_resolution_time,max_resolution_time,median_response_time,max_response_time,median_num_previous_subject,max_num_previous_subject,num_high_critical_tickets,num_open_tickets,ischr,isup,mom_num_created_tickets,mom_num_closed_tickets,mom_median_resolution_time,mom_max_resolution_time,mom_median_response_time,mom_max_response_time,mom_num_high_critical_tickets,mom_num_open_tickets,contract_year,num_created_tickets_label,num_created_tickets_median_ischr,num_created_tickets_median_isup,num_closed_tickets_label,num_closed_tickets_median_ischr,num_closed_tickets_median_isup,median_resolution_time_label,median_resolution_time_median_ischr,median_resolution_time_median_isup,max_resolution_time_label,max_resolution_time_median_ischr,max_resolution_time_median_isup,median_response_time_label,median_response_time_median_ischr,median_response_time_median_isup,max_response_time_label,max_response_time_median_ischr,max_response_time_median_isup,num_high_critical_tickets_label,num_high_critical_tickets_median_ischr,num_high_critical_tickets_median_isup,median_num_previous_subject_label,median_num_previous_subject_median_ischr,median_num_previous_subject_median_isup
account_1,contract_1_1_1,2,0.16666666666666666,2020-02-01,1,0,77,77,1,1,0,0,1,1,0,0,,,,,,,,,2020,normal,1.0,1.0,risky,1.0,1.0,healthy,41.0,38.0,healthy,53.0,39.0,risky,7.0,1.0,risky,7.0,2.0,normal,0.0,1.0,normal,0.0,1.0
account_1,contract_1_1_1,3,0.25,2020-03-01,1,1,77,77,1,1,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,2020,normal,1.0,1.0,normal,1.0,1.0,healthy,41.0,38.0,healthy,53.0,39.0,risky,7.0,1.0,risky,7.0,2.0,normal,0.0,1.0,normal,0.0,1.0
account_1,contract_1_1_1,4,0.3333333333333333,2020-04-01,1,1,77,77,1,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,normal,1.0,1.0,normal,1.0,1.0,healthy,41.0,38.0,healthy,53.0,39.0,risky,7.0,1.0,risky,7.0,2.0,normal,0.0,1.0,normal,0.0,1.0
account_1,contract_1_1_1,5,0.4166666666666667,2020-05-01,1,1,77,77,1,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,normal,1.0,1.0,normal,1.0,1.0,healthy,41.0,38.0,healthy,53.0,39.0,risky,7.0,1.0,risky,7.0,2.0,normal,0.0,1.0,normal,0.0,1.0
account_1,contract_1_1_1,6,0.5,2020-06-01,1,1,77,77,1,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,normal,1.0,1.0,normal,1.0,1.0,healthy,41.0,38.0,healthy,53.0,39.0,risky,7.0,1.0,risky,7.0,2.0,normal,0.0,1.0,normal,0.0,1.0
account_1,contract_1_1_1,7,0.5833333333333334,2020-07-01,2,1,79,82,2,4,1,2,1,1,0,0,1.0,0.0,2.0,5.0,1.0,3.0,0.0,1.0,2020,healthy,1.0,1.0,normal,1.0,1.0,healthy,41.0,38.0,healthy,53.0,39.0,risky,7.0,1.0,risky,7.0,2.0,normal,0.0,1.0,normal,0.0,1.0
account_1,contract_1_1_1,8,0.6666666666666666,2020-08-01,2,1,79,82,2,4,1,2,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,healthy,1.0,1.0,normal,1.0,1.0,healthy,41.0,38.0,healthy,53.0,39.0,risky,7.0,1.0,risky,7.0,2.0,normal,0.0,1.0,normal,0.0,1.0
account_1,contract_1_1_1,9,0.75,2020-09-01,2,2,79,82,2,4,2,2,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,2020,healthy,1.0,1.0,healthy,1.0,1.0,healthy,41.0,38.0,healthy,53.0,39.0,risky,7.0,1.0,risky,7.0,2.0,normal,0.0,1.0,healthy,0.0,1.0
account_1,contract_1_1_1,10,0.8333333333333334,2020-10-01,2,2,79,82,2,4,2,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,healthy,1.0,1.0,healthy,1.0,1.0,healthy,41.0,38.0,healthy,53.0,39.0,risky,7.0,1.0,risky,7.0,2.0,normal,0.0,1.0,healthy,0.0,1.0
account_1,contract_1_1_1,11,0.9166666666666666,2020-11-01,2,2,79,82,2,4,2,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,healthy,1.0,1.0,healthy,1.0,1.0,healthy,41.0,38.0,healthy,53.0,39.0,risky,7.0,1.0,risky,7.0,2.0,normal,0.0,1.0,healthy,0.0,1.0
