account_id,contract_id,FOM,MOC,POC,total_user,active_user,session_duration,feature_adoption,usage_frequency,usage_recency,usage_recency_d,mom_active_user,mom_session_duration,mom_feature_adoption,mom_usage_frequency,contract_end_date,contract_status,pre_active_users,contract_year,active_user_label,active_user_median_ischr,active_user_median_isup,session_duration_label,session_duration_median_ischr,session_duration_median_isup,feature_adoption_label,feature_adoption_median_ischr,feature_adoption_median_isup,usage_frequency_label,usage_frequency_median_ischr,usage_frequency_median_isup,usage_recency_d_label,usage_recency_d_median_ischr,usage_recency_d_median_isup,pre_active_users_label,pre_active_users_median_ischr,pre_active_users_median_isup
account_1,contract_1_1_1,2020-01-01,1,0.0833333333333333,15.0,10,363,7,8,2020-01-22,21,0,0,0,0,2020-12-31,unknown,0.6666666666666666,2020,healthy,8.0,6.0,healthy,253.5,272.0,risky,11.0,12.0,healthy,7.5,6.0,healthy,12.5,14.0,healthy,0.583916083916084,0.4666666666666667
account_1,contract_1_1_1,2020-02-01,2,0.1666666666666666,15.0,12,76,11,7,2020-02-23,22,2,-287,0,-1,2020-12-31,unknown,0.8,2020,healthy,8.0,6.0,risky,253.5,272.0,normal,11.0,12.0,risky,7.5,6.0,healthy,12.5,14.0,healthy,0.583916083916084,0.4666666666666667
account_1,contract_1_1_1,2020-03-01,3,0.25,15.0,11,288,11,1,2020-03-20,19,-1,212,0,-6,2020-12-31,unknown,0.7333333333333333,2020,healthy,8.0,6.0,healthy,253.5,272.0,normal,11.0,12.0,risky,7.5,6.0,healthy,12.5,14.0,healthy,0.583916083916084,0.4666666666666667
account_1,contract_1_1_1,2020-04-01,4,0.3333333333333333,15.0,3,174,12,10,2020-04-11,10,-8,-114,0,9,2020-12-31,unknown,0.2,2020,risky,8.0,6.0,risky,253.5,272.0,normal,11.0,12.0,healthy,7.5,6.0,risky,12.5,14.0,risky,0.583916083916084,0.4666666666666667
account_1,contract_1_1_1,2020-05-01,5,0.4166666666666667,15.0,8,294,12,3,2020-05-17,16,5,120,0,-7,2020-12-31,unknown,0.5333333333333333,2020,healthy,8.0,6.0,healthy,253.5,272.0,normal,11.0,12.0,risky,7.5,6.0,healthy,12.5,14.0,risky,0.583916083916084,0.4666666666666667
account_1,contract_1_1_1,2020-06-01,6,0.5,15.0,10,418,12,4,2020-06-11,10,2,124,0,1,2020-12-31,unknown,0.6666666666666666,2020,healthy,8.0,6.0,healthy,253.5,272.0,normal,11.0,12.0,risky,7.5,6.0,risky,12.5,14.0,healthy,0.583916083916084,0.4666666666666667
account_1,contract_1_1_1,2020-07-01,7,0.5833333333333334,15.0,6,71,12,7,2020-07-11,10,-4,-347,0,3,2020-12-31,unknown,0.4,2020,risky,8.0,6.0,risky,253.5,272.0,normal,11.0,12.0,risky,7.5,6.0,risky,12.5,14.0,risky,0.583916083916084,0.4666666666666667
account_1,contract_1_1_1,2020-08-01,8,0.6666666666666666,15.0,7,192,12,4,2020-08-04,3,1,121,0,-3,2020-12-31,unknown,0.4666666666666667,2020,risky,8.0,6.0,risky,253.5,272.0,normal,11.0,12.0,risky,7.5,6.0,risky,12.5,14.0,risky,0.583916083916084,0.4666666666666667
account_1,contract_1_1_1,2020-09-01,9,0.75,15.0,7,351,12,8,2020-09-17,16,0,159,0,4,2020-12-31,unknown,0.4666666666666667,2020,risky,8.0,6.0,healthy,253.5,272.0,normal,11.0,12.0,healthy,7.5,6.0,healthy,12.5,14.0,risky,0.583916083916084,0.4666666666666667
account_1,contract_1_1_1,2020-10-01,10,0.8333333333333334,15.0,2,270,12,8,2020-10-21,20,-5,-81,0,0,2020-12-31,unknown,0.1333333333333333,2020,risky,8.0,6.0,normal,253.5,272.0,normal,11.0,12.0,healthy,7.5,6.0,healthy,12.5,14.0,risky,0.583916083916084,0.4666666666666667
account_1,contract_1_1_1,2020-11-01,11,0.9166666666666666,15.0,4,310,12,4,2020-11-26,25,2,40,0,-4,2020-12-31,unknown,0.2666666666666666,2020,risky,8.0,6.0,healthy,253.5,272.0,normal,11.0,12.0,risky,7.5,6.0,healthy,12.5,14.0,risky,0.583916083916084,0.4666666666666667
account_1,contract_1_1_1,2020-12-01,12,1.0,15.0,7,355,12,6,2020-12-09,8,3,45,0,2,2020-12-31,unknown,0.4666666666666667,2020,risky,8.0,6.0,healthy,253.5,272.0,normal,11.0,12.0,risky,7.5,6.0,risky,12.5,14.0,risky,0.583916083916084,0.4666666666666667
account_1,contract_1_2_1,2021-01-01,1,0.0833333333333333,15.0,4,201,5,6,2021-01-02,1,0,0,0,0,2021-12-31,churned,0.2666666666666666,2021,risky,8.0,6.0,risky,253.5,272.0,risky,11.0,12.0,risky,7.5,6.0,risky,12.5,14.0,risky,0.583916083916084,0.4666666666666667
account_1,contract_1_2_1,2021-02-01,2,0.1666666666666666,15.0,4,136,8,3,2021-02-21,20,0,-65,0,-3,2021-12-31,churned,0.2666666666666666,2021,risky,8.0,6.0,risky,253.5,272.0,risky,11.0,12.0,risky,7.5,6.0,healthy,12.5,14.0,risky,0.583916083916084,0.4666666666666667
account_1,contract_1_2_1,2021-03-01,3,0.25,15.0,8,84,8,1,2021-03-02,1,4,-52,0,-2,2021-12-31,churned,0.5333333333333333,2021,healthy,8.0,6.0,risky,253.5,272.0,risky,11.0,12.0,risky,7.5,6.0,risky,12.5,14.0,risky,0.583916083916084,0.4666666666666667
